epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,738.51,0.47706,0.33682,0.91316,0.9987,1,0.995,0.94666,0.38667,0.26313,0.8871,0.0015875,0.0015875,0.0015875
127,744.213,0.48945,0.32914,0.92181,0.99839,1,0.995,0.9395,0.40199,0.26012,0.88005,0.0015842,0.0015842,0.0015842
128,749.878,0.4841,0.34945,0.8917,0.99356,1,0.995,0.95589,0.40793,0.28301,0.88702,0.0015809,0.0015809,0.0015809
129,755.569,0.44925,0.31994,0.9088,0.99868,1,0.995,0.96113,0.37337,0.2565,0.87755,0.0015776,0.0015776,0.0015776
130,761.241,0.46998,0.32527,0.89737,0.99884,1,0.995,0.95965,0.37006,0.25966,0.87519,0.0015743,0.0015743,0.0015743
131,766.925,0.46345,0.32743,0.90044,0.99891,1,0.995,0.95636,0.3749,0.27033,0.8736,0.001571,0.001571,0.001571
132,772.623,0.4605,0.3414,0.89167,0.99855,1,0.995,0.95856,0.37389,0.2705,0.86755,0.0015677,0.0015677,0.0015677
133,778.294,0.48356,0.34457,0.92695,0.99854,1,0.995,0.97224,0.36998,0.25599,0.86518,0.0015644,0.0015644,0.0015644
134,783.997,0.4621,0.33184,0.90511,0.99908,1,0.995,0.95647,0.3913,0.2499,0.87264,0.0015611,0.0015611,0.0015611
135,789.682,0.44694,0.33678,0.90424,0.99902,1,0.995,0.95089,0.39004,0.25373,0.871,0.0015578,0.0015578,0.0015578
136,795.383,0.43075,0.30399,0.88845,0.99877,1,0.995,0.95885,0.38427,0.25832,0.87461,0.0015545,0.0015545,0.0015545
137,801.439,0.44318,0.32813,0.89961,0.99917,1,0.995,0.94728,0.36253,0.24741,0.8691,0.0015512,0.0015512,0.0015512
138,807.106,0.47512,0.34699,0.91161,0.99924,1,0.995,0.94516,0.38203,0.24457,0.87538,0.0015479,0.0015479,0.0015479
139,812.868,0.44989,0.32347,0.89021,0.99946,1,0.995,0.95995,0.39295,0.25216,0.87366,0.0015446,0.0015446,0.0015446
140,818.648,0.45862,0.31948,0.92408,0.99872,1,0.995,0.96295,0.36534,0.24552,0.87166,0.0015413,0.0015413,0.0015413
141,824.313,0.42028,0.30561,0.89696,0.99893,1,0.995,0.96221,0.35094,0.22877,0.87266,0.001538,0.001538,0.001538
142,830.016,0.47804,0.33362,0.90752,0.99796,1,0.995,0.94965,0.39218,0.26052,0.88533,0.0015347,0.0015347,0.0015347
143,835.702,0.46425,0.32614,0.91513,0.99889,1,0.995,0.94989,0.40538,0.25164,0.87883,0.0015314,0.0015314,0.0015314
144,841.369,0.47879,0.32979,0.9052,0.99908,1,0.995,0.95799,0.38279,0.23677,0.87322,0.0015281,0.0015281,0.0015281
145,847.066,0.46046,0.33132,0.90293,0.99686,1,0.995,0.94021,0.35913,0.23193,0.86443,0.0015248,0.0015248,0.0015248
146,852.728,0.46524,0.31303,0.91353,0.99844,1,0.995,0.96093,0.35567,0.23639,0.86527,0.0015215,0.0015215,0.0015215
147,858.449,0.48193,0.32535,0.89052,0.99874,1,0.995,0.94027,0.37762,0.24528,0.87521,0.0015182,0.0015182,0.0015182
148,864.149,0.4672,0.33041,0.92239,0.99908,1,0.995,0.96205,0.41034,0.25914,0.88896,0.0015149,0.0015149,0.0015149
149,869.811,0.47226,0.31284,0.91674,0.99913,1,0.995,0.95571,0.3875,0.24525,0.88412,0.0015116,0.0015116,0.0015116
150,875.497,0.45076,0.31534,0.89948,0.99804,1,0.995,0.96286,0.3436,0.26204,0.86755,0.0015083,0.0015083,0.0015083
151,881.182,0.44135,0.31749,0.88585,0.99783,1,0.995,0.94792,0.36187,0.23621,0.86868,0.001505,0.001505,0.001505
152,886.862,0.47515,0.32957,0.89141,0.99878,1,0.995,0.95938,0.36031,0.24533,0.8633,0.0015017,0.0015017,0.0015017
153,892.549,0.48941,0.32784,0.90715,0.99908,1,0.995,0.94996,0.36798,0.23677,0.86314,0.0014984,0.0014984,0.0014984
154,898.22,0.41585,0.29137,0.89159,0.99911,1,0.995,0.95399,0.38841,0.24109,0.87143,0.0014951,0.0014951,0.0014951
155,903.915,0.45086,0.30931,0.90123,0.999,1,0.995,0.954,0.33944,0.23806,0.8698,0.0014918,0.0014918,0.0014918
156,909.603,0.4422,0.30813,0.89775,0.99215,1,0.995,0.95537,0.37496,0.25563,0.87155,0.0014885,0.0014885,0.0014885
157,915.275,0.44795,0.30323,0.9034,0.98572,1,0.995,0.94345,0.36015,0.24384,0.87042,0.0014852,0.0014852,0.0014852
158,920.963,0.4591,0.33477,0.90735,0.99894,1,0.995,0.96391,0.37991,0.24435,0.87353,0.0014819,0.0014819,0.0014819
159,926.644,0.42235,0.3022,0.8953,0.99782,1,0.995,0.95832,0.36791,0.2323,0.87286,0.0014786,0.0014786,0.0014786
160,932.311,0.47641,0.32319,0.91548,0.99834,1,0.995,0.95022,0.40689,0.24648,0.87627,0.0014753,0.0014753,0.0014753
161,937.997,0.46498,0.32256,0.89985,0.99114,1,0.995,0.94766,0.36641,0.24873,0.86582,0.001472,0.001472,0.001472
162,943.673,0.45663,0.31913,0.89283,0.99902,1,0.995,0.94707,0.38314,0.24078,0.86419,0.0014687,0.0014687,0.0014687
163,949.367,0.45608,0.31093,0.89783,0.98376,1,0.99455,0.94565,0.35277,0.23508,0.85827,0.0014654,0.0014654,0.0014654
164,955.061,0.47847,0.31442,0.91599,0.99162,1,0.995,0.94152,0.40476,0.26681,0.86472,0.0014621,0.0014621,0.0014621
165,960.725,0.48756,0.34233,0.91918,0.99902,1,0.995,0.952,0.40429,0.25378,0.86785,0.0014588,0.0014588,0.0014588
166,966.417,0.45074,0.31132,0.89669,0.99781,1,0.995,0.95542,0.38547,0.23796,0.86319,0.0014555,0.0014555,0.0014555
167,972.111,0.46996,0.3347,0.89258,0.999,1,0.995,0.97261,0.3758,0.23912,0.86785,0.0014522,0.0014522,0.0014522
168,977.794,0.44374,0.30635,0.89698,0.99911,1,0.995,0.96139,0.37448,0.23149,0.86389,0.0014489,0.0014489,0.0014489
169,983.482,0.43467,0.29982,0.89626,0.99897,1,0.995,0.96352,0.34798,0.23187,0.85812,0.0014456,0.0014456,0.0014456
170,989.16,0.43755,0.31207,0.9081,0.99857,1,0.995,0.95649,0.39538,0.22643,0.86978,0.0014423,0.0014423,0.0014423
171,994.877,0.4427,0.29145,0.88726,0.99911,1,0.995,0.96398,0.37212,0.23985,0.87354,0.001439,0.001439,0.001439
172,1000.57,0.44123,0.2935,0.90006,0.99856,1,0.995,0.95246,0.36175,0.23889,0.86375,0.0014357,0.0014357,0.0014357
173,1006.24,0.41769,0.29986,0.88448,0.99853,1,0.995,0.9569,0.34627,0.2502,0.85951,0.0014324,0.0014324,0.0014324
174,1011.93,0.44002,0.29528,0.90088,0.99859,1,0.995,0.96674,0.34344,0.22799,0.86184,0.0014291,0.0014291,0.0014291
175,1017.61,0.43497,0.29129,0.89211,0.99906,1,0.995,0.95928,0.35125,0.24303,0.86094,0.0014258,0.0014258,0.0014258
176,1023.28,0.44703,0.30973,0.87821,0.99907,1,0.995,0.95228,0.36873,0.25005,0.8635,0.0014225,0.0014225,0.0014225
177,1028.99,0.45807,0.32264,0.89633,0.99833,1,0.995,0.9511,0.33885,0.22475,0.85352,0.0014192,0.0014192,0.0014192
178,1034.65,0.45801,0.30823,0.91326,0.9983,1,0.995,0.95074,0.36952,0.23335,0.86118,0.0014159,0.0014159,0.0014159
179,1040.34,0.44981,0.31987,0.91482,0.99875,1,0.995,0.95188,0.36272,0.22801,0.86145,0.0014126,0.0014126,0.0014126
180,1046.05,0.44987,0.3024,0.88485,0.99915,1,0.995,0.95048,0.36837,0.25503,0.86511,0.0014093,0.0014093,0.0014093
181,1051.72,0.46808,0.31889,0.90606,0.99851,1,0.995,0.94652,0.38086,0.24849,0.87207,0.001406,0.001406,0.001406
182,1057.42,0.48663,0.32451,0.92331,0.9991,1,0.995,0.95336,0.34845,0.25448,0.86494,0.0014027,0.0014027,0.0014027
183,1063.11,0.47126,0.32255,0.90955,0.99868,1,0.995,0.95495,0.41925,0.2611,0.87292,0.0013994,0.0013994,0.0013994
184,1068.78,0.47331,0.32217,0.91128,0.9984,1,0.995,0.95057,0.39653,0.24641,0.86747,0.0013961,0.0013961,0.0013961
185,1074.49,0.47779,0.31555,0.89747,0.99871,1,0.995,0.93977,0.42939,0.25826,0.88527,0.0013928,0.0013928,0.0013928
186,1080.16,0.46194,0.31767,0.91113,0.99891,1,0.995,0.96295,0.3431,0.22734,0.86012,0.0013895,0.0013895,0.0013895
187,1085.86,0.42088,0.29029,0.8866,0.999,1,0.995,0.95267,0.386,0.24801,0.87806,0.0013862,0.0013862,0.0013862
