epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,3174.97,0.88768,0.55388,0.95957,0.92808,0.81449,0.89238,0.64416,0.81314,0.47675,0.94135,0.007789,0.007789,0.007789
136,3198.39,0.90188,0.55893,0.95877,0.91454,0.82526,0.88856,0.65102,0.81607,0.47903,0.93933,0.0077725,0.0077725,0.0077725
137,3221.9,0.89494,0.55315,0.95352,0.90166,0.83055,0.8853,0.64666,0.81726,0.48261,0.94548,0.007756,0.007756,0.007756
138,3245.13,0.90162,0.55696,0.96115,0.92086,0.83249,0.89567,0.64802,0.80906,0.47222,0.94127,0.0077395,0.0077395,0.0077395
139,3268.62,0.90173,0.55162,0.95818,0.89674,0.81964,0.87986,0.63847,0.82664,0.48094,0.94427,0.007723,0.007723,0.007723
140,3291.99,0.88013,0.5383,0.9469,0.8961,0.83663,0.88647,0.65028,0.81455,0.4692,0.9481,0.0077065,0.0077065,0.0077065
141,3315.29,0.89824,0.55189,0.95524,0.9049,0.80797,0.89166,0.64976,0.82725,0.47054,0.94378,0.00769,0.00769,0.00769
142,3338.45,0.92465,0.57226,0.97511,0.9078,0.83217,0.89659,0.65286,0.81763,0.47232,0.94196,0.0076735,0.0076735,0.0076735
143,3361.97,0.87952,0.56752,0.96413,0.87925,0.84908,0.8891,0.6454,0.81324,0.47028,0.94193,0.007657,0.007657,0.007657
144,3385.39,0.87183,0.55336,0.95797,0.90859,0.81168,0.89209,0.65103,0.80901,0.47373,0.94371,0.0076405,0.0076405,0.0076405
145,3408.82,0.86821,0.53707,0.95559,0.92903,0.82586,0.89708,0.6465,0.81077,0.47975,0.94044,0.007624,0.007624,0.007624
146,3432.19,0.9012,0.56601,0.9614,0.89443,0.84653,0.90124,0.65259,0.81597,0.47136,0.94399,0.0076075,0.0076075,0.0076075
147,3455.53,0.88934,0.54755,0.95352,0.90688,0.80563,0.89067,0.64675,0.79657,0.46604,0.93679,0.007591,0.007591,0.007591
148,3478.69,0.89907,0.54052,0.95494,0.86865,0.83302,0.88914,0.64498,0.80921,0.46543,0.94152,0.0075745,0.0075745,0.0075745
149,3502.27,0.84535,0.53859,0.94948,0.88872,0.83218,0.89205,0.65222,0.79851,0.46453,0.93922,0.007558,0.007558,0.007558
150,3525.79,0.87939,0.5488,0.94907,0.87725,0.83299,0.89121,0.65186,0.80942,0.46646,0.9422,0.0075415,0.0075415,0.0075415
151,3549.3,0.86717,0.53673,0.95178,0.87908,0.82629,0.89314,0.65302,0.80094,0.46325,0.9451,0.007525,0.007525,0.007525
152,3572.51,0.8852,0.55021,0.9497,0.91453,0.83795,0.89376,0.64646,0.80461,0.45019,0.9394,0.0075085,0.0075085,0.0075085
153,3595.98,0.88414,0.5306,0.97098,0.91275,0.82115,0.89317,0.65286,0.80669,0.46648,0.94311,0.007492,0.007492,0.007492
154,3619.78,0.88306,0.53843,0.96267,0.89682,0.83818,0.89745,0.66028,0.79991,0.45606,0.94002,0.0074755,0.0074755,0.0074755
